text,true_label,predicted_label,confidence
when the neighbour of a friend of mine was stabbed to death by thieves in kabwe they stole his van,sadness,anger,0.65261436
when a good friend of me told me one evening that she didnt want to live anymore,fear,sadness,0.65016526
when i was walking in a field which had a lot of manure,anger,fear,0.6425193
i do have to say my mom washed my hair so i should have been feeling amazing,joy,surprise,0.64097935
i just sit in the rv dinette in the driveway look out the big back window and feel amazing,joy,surprise,0.6408487
i was feeling amazing so i was disappointed when my lab work in december came back the same way it did the previous year overall it was good but i did not have enough protein in my diet,joy,surprise,0.64067346
i started walking again yesterday and it feels amazing,joy,surprise,0.6402811
i have read several reviews that tout that following this protocol will leave you feeling so amazing itll make you wonder how you ever ate any other way,joy,surprise,0.6402372
i understand how betrayed she must feel it is also amazing to me how she can change her mind so easily,joy,surprise,0.6401706
i have to say it feels amazing,joy,surprise,0.64011294
i am feeling absolutely amazing,joy,surprise,0.6400962
i truly feel like i was given an amazing opportunity to work in such an excellent environment with such great people who i really respect amp admire and whom i feel like share that same respect amp admiration towards me,joy,surprise,0.6400915
i had very little faith in myself going into this whole thing but i actually made it through and i feel absolutely amazing,joy,surprise,0.6400749
i have a feeling its going to be amazing,joy,surprise,0.6400666
i actually kind of hate it while i am doing it but when i finish i feel amazing that i actually did it,joy,surprise,0.6400573
i feel amazing and i am rocking these jeans she feels happy the perfectionist says my bod isnt perfect i need to work harder go to the gym more eat less that one single bump on my thigh is disgusting she feels hopeless,joy,surprise,0.64004785
i continued to feel amazing,joy,surprise,0.6400455
i was feeling particularly amazing i waved to my family driving by then caught the shadow of my new toned muscular thighs thus losing focus and concentration and rolled my ankle,joy,surprise,0.6400326
i also am always so tempted to get the shampoo they use because my hair always smells and feels amazing,joy,surprise,0.6400142
i look forward to attending every class and leaving feeling amazing feeling on top of the world,joy,surprise,0.64000887
i have the recipes i m making for both picked out and i have a feeling they are going to be amazing,joy,surprise,0.63997686
i use this after the purifying toner and my skin feels amazing all day long,joy,surprise,0.6399762
i have had a grand opportunity to reconnect with some people that i havent had the pleasure of connecting with in quite some time it feels amazing,joy,surprise,0.63997257
i feel like a woman and its amazing,joy,surprise,0.6399716
i am really loose feeling amazing so theres no excuses here,joy,surprise,0.63996744
i am pounds down and am feeling amazing,joy,surprise,0.639965
i feel the most amazing i ve felt in years some members of my family are having issues with their health,joy,surprise,0.6399544
i need to start using a thesaurus i feel like i use amazing too often in these blog posts,joy,surprise,0.6399455
i did feel like the actors did an amazing job,joy,surprise,0.639945
i suppose you pay for convenience and to be honest i am on my final day of the day cleanse and i feel amazing,joy,surprise,0.6399314
i feel amazing and i want to keep it that way,joy,surprise,0.6399016
i continue to feel amazing and feel zero alarm at the prospect my body might die,joy,surprise,0.6398975
i find myself thinking about her at the most random times and feeling such awe because of how amazing she is,joy,surprise,0.6398913
i am drawing i can only sit and work on something for a few hours at a time but when i am painting a wall i can work for twelve hours and feel amazing,joy,surprise,0.6398891
i feel like these are amazing quality and stand up to a lot of use without fraying or falling apart,joy,surprise,0.6398426
i wanted to feel his amazing body becoming one with mine,joy,surprise,0.6398416
i love that i try on clothes and choose the ones that make me feel amazing,joy,surprise,0.63983744
i feel like i have no life xd but amazing things keep happening,joy,surprise,0.6398358
i will tell you but when you get to it youll love yourself and youll feel amazing,joy,surprise,0.6398315
i wrote my first blog post in about a year and a half in response to the intense emotions i was feeling and the amazing god filled weekend i had in norman oklahoma with some amazing christ followers,joy,surprise,0.63983124
i mediate i feel amazing,joy,surprise,0.6398273
i feel amazing and i m not affriad eminem,joy,surprise,0.63981235
i am in the second trimester i feel amazing,joy,surprise,0.63980883
i feel i am an amazing artist,joy,surprise,0.6398025
i think we get really caught up looking at everyone s instagrams and facebook pictures and start to get that feeling of everyone is having the most amazing time except for me what am i doing wrong,joy,surprise,0.63975954
i have talked about what happened during that first night we certainly feel overwhelming gratitude towards dr erin whose skill and attentiveness as his doctor were amazing,joy,surprise,0.63957626
i cannot say enough how honored i feel to be a part of such an amazing group of people,joy,surprise,0.63956887
i feel to the amazing generosity that makes up that,joy,surprise,0.63951844
i wish i could feel that more because i always lose sight of it but just remembering that is something amazing,joy,surprise,0.63941383
i closed my eye taking in the feeling wishing that i could go back in time and re live these amazing moments when i opened my eyes i was taken back by fahad s presence he was leaning against the skeleton of the swing set and smiling at me,joy,surprise,0.6393855
i have this feeling of guilt for people going out of their way to help me but we truly need it and its an amazing ministry that they do,joy,surprise,0.63930213
i feel that at times the film dragged on but other then that i feel that the actors did an amazing job and i like the overall look of the film,joy,surprise,0.63929
during the exam period i studied in the library alone a close friend of mine,joy,fear,0.62777174
when my mother was tremendous on the phone and we talked for hours she was in a good mood,joy,anger,0.62675023
lost my purse,fear,anger,0.62155104
when i read a lot and did not remember anything,sadness,anger,0.61990947
when one of my best friends commited siucide during these holidays,sadness,anger,0.6175346
i do not recall one here either,fear,anger,0.6133778
i wouldn t feel assaulted by other people s emotions any more,sadness,fear,0.60918814
i feel i was assaulted or sodomized,sadness,fear,0.6091787
i feel assaulted dizzy and reeling,sadness,fear,0.6091316
i feel as if wellington is being visually assaulted by billboards with photos of smiling white upper middle class candidates,sadness,fear,0.60909516
i miss socializing but i feel rather assaulted by the world lately,sadness,fear,0.6090642
i do understand the feeling of helplessness that jeremiah must have been assaulted with when he penned his lamentation,sadness,fear,0.6090612
i dunno but i still feel kind of assaulted in a really good way,sadness,fear,0.6090499
i know i don t like my picture taken but i feel almost assaulted by the lens as it s pointing at my face,sadness,fear,0.60904634
i feel assaulted every weekend because of the hate speech from sidewalk preachers mr,sadness,fear,0.6090418
i always leave feeling like i have just been sexualy assaulted even though i never shred one article of clothing,sadness,fear,0.6090181
i was electrified that i let myself be and feel unprotected and defenseless,sadness,fear,0.6086931
i feel helpless trapped and like a complete and utter freak,sadness,fear,0.6086477
i am feeling very unprotected by my doctor,sadness,fear,0.60863376
i am just at a loss as to how to help him and i hate feeling helpless,sadness,fear,0.6086302
i feel helpless all the time,sadness,fear,0.60861695
i sat feeling helpless like a moment from an episode of the walking dead,sadness,fear,0.6086135
i feel almost as helpless as they do because anything i would try to do would be so miniscule,sadness,fear,0.6086128
i want nothing more than to continue this journey empowering women who because of their illness feel helpless and isolated,sadness,fear,0.6086076
i feel unprotected and indignated,sadness,fear,0.608605
i am feeling helpless please help me,sadness,fear,0.60859585
i sit crying looking silly and feeling helpless as my coworkers look on startle by my sobbing i have never exper,sadness,fear,0.6085871
ive been miserably live through hell for two weeks more without internet its like both your hand chopped off you cannot do a single thing and feeling helpless,sadness,fear,0.60858655
i feel so helpless without a camera to shoot pics of all the thrifty things i find and my beautiful flowers etc,sadness,fear,0.60858613
i feel helpless the pain of the world is piercing my mind needle without a master to control it endless,sadness,fear,0.6085791
i am still feeling just as helpless and powerless now as i did then,sadness,fear,0.6085742
i feel helpless about not being able to help him in feeling better but do my best to encourage him and think positively as mom is doing,sadness,fear,0.6085696
i feel helpless and scared and trapped,sadness,fear,0.60856205
i went home feeling so helpless,sadness,fear,0.6085378
i feel helpless and have to pretend everything is okay,sadness,fear,0.6085376
i feel so helpless about the whole situation and my best friend doesnt even understand me,sadness,fear,0.60853356
i sat in my tiny chair hoping for the noodles to come soon and feeling rather helpless stupid hopeful mechanics abound idiotic,sadness,fear,0.60852724
i remember feeling so helpless i had been a mother for no less than hours and i had already failed my daughter,sadness,fear,0.6085252
i ultimately feel so helpless hours ago,sadness,fear,0.6085247
i want to hug my other friend cause i feel helpless,sadness,fear,0.6085201
i have been conveniently uninformed of the specifics of the situation i am left feeling helpless and wanting more than ever to get away,sadness,fear,0.60851705
i do feel helpless nights when i really can t sleep because my mind is running with questions and concerns,sadness,fear,0.608517
i cannot help feeling helpless useless and inefficient,sadness,fear,0.6085168
i feel so helpless because were long distance,sadness,fear,0.6085149
i don t feel as helpless,sadness,fear,0.60851204
i feel so helpless here watch my eyes are filled with fear tell me do you feel the same hold me in your arms again ellie goulding,sadness,fear,0.6085089
i have artist block i feel inhibited i plan in editing the hatching out,sadness,fear,0.6085044
i feel helpless and inadequate,sadness,fear,0.6085033
i am nowhere perfect but i feel helpless to save my family because they are so far away,sadness,fear,0.608503
i just feel so inhibited sometimes,sadness,fear,0.6085012
i feel so helpless when you get out of breath after only a few steps,sadness,fear,0.6084997
i feel helpless when faces with cases where psychiatrists have already given their verdict major depressive disorder or psychotic breakdown or one of the other odd diagnoses they have safely noted in the dsm,sadness,fear,0.60849863
i have where it s possible for me to just talk without feeling inhibited by something,sadness,fear,0.60849744
i am feeling so helpless,sadness,fear,0.6084776
i feel like the saddle got in the way or inhibited my power output,sadness,fear,0.60847753
i am very passionate about what people with mental illness deserve but i feel so helpless to do anything,sadness,fear,0.60847485
i feel so helpless and lost,sadness,fear,0.6084715
i was left feeling helpless,sadness,fear,0.6084713
i feel myself helpless when it comes to express feelings,sadness,fear,0.60846144
i feel somewhat helpless when i repeat the same prayer over and over,sadness,fear,0.6084595
i just sat there next to the bed feeling so helpless and so much pain on behalf of my sweet newborn,sadness,fear,0.60845613
i listen i feel helpless,sadness,fear,0.6084555
i didnt often feel helpless,sadness,fear,0.60845286
i feel i can make and own my own choices the reason i feel fairly helpless about the role of women in the church is because i can only affect my own sphere,sadness,fear,0.6084488
i would also feel more helpless in seeing good people children of god being hurt physically and spiritually and not being able to do anything about it,sadness,fear,0.6084414
i don t want to suspend anastasia but i want to restrain her make her feel completely helpless so not only she surrenders her body to me but she learns to take possession of her own mind and consequently her own body controlling them both,sadness,fear,0.6084306
i didnt feel like a freak or completely helpless and clueless not once today,sadness,fear,0.6084279
i feel so helpless but i can say i am a caring mom who has a lot of empathy for my daughter and others,sadness,fear,0.608426
i believe that they all still come into play whenever i feel inhibited,sadness,fear,0.6084213
i started to think about will be the longest ive left him for in his little life makes me feel as if i am abandoning a helpless newborn,sadness,fear,0.60842115
i ultimately feel so helpless,sadness,fear,0.6084201
i feel like i am being greatly inhibited by my surroundings,sadness,fear,0.6084191
i feel helpless and frustrated,sadness,fear,0.6084164
i feel so helpless because love can be so cruel,sadness,fear,0.6084126
i can have the worst day and feel completely helpless but coming home to his smiles and hugs keeps me fighting this war,sadness,fear,0.6084118
i signed it with a careful hand to show my own worth when i am feeling inhibited,sadness,fear,0.60841084
i warned him to call the cops but couldnt find anyone nearby making me feel more helpless though he left the place the very moment,sadness,fear,0.6084064
i feel completely helpless and worry stricken,sadness,fear,0.60839903
i am fighting the need to run and hide because my submissive side wishes to stay and work through all my feelings yet exposing them makes me feel unprotected too,sadness,fear,0.6083924
i feel so inhibited around my parents,sadness,fear,0.6083924
i feel on this day monday th november i sit here helpless hopeless and foolish,sadness,fear,0.6083904
i feel completely and utterly helpless,sadness,fear,0.6083849
i cannot control wall street or corporate fraud or even how my own elected officials conduct themselves i feel helpless and frightened for my own financial future so i am going to find some way to control something,sadness,fear,0.6083841
i feel so helpless right now like ive done everything that i feel that i could have to make me seem like a worthy applicant for god sakes ive had perfect grades my entire educational career and i am like super involved in my music literally i do any extra curricular that involves music why colleges,sadness,fear,0.60838264
i feel so helpless but so well protected,sadness,fear,0.6083803
i always dream she is suffering and dieing and i cannot help her which makes me feel even more helpless,sadness,fear,0.6083758
i already feel inhibited about letting my views be known,sadness,fear,0.60836905
i was in the hospital for complex surgery it gave me a whole new understanding what it feels like to be helpless and totally dependent on the good will of others,sadness,fear,0.60836864
i pay attention it deepens into a feeling of being invaded and helpless,sadness,fear,0.6083681
i really want to ask about her life but feel inhibited,sadness,fear,0.6083619
i feel so helpless and worried not only worried about my own mental health but also and especially sick with worry when i think of the creepy illness of my blue friend hes only in his forties he cannot just die can he,sadness,fear,0.60836184
i feel inhibited by not being sure how to say what i want to,sadness,fear,0.6083075
ive been feeling less inhibited,sadness,fear,0.60829496
i feel inhibited when seeing you in the office,sadness,fear,0.6082862
i feel as if my grandmother inhibited my childhood by living through my mother financially,sadness,fear,0.6082739
i feel inhibited from ever saying those three words to him again in the fear that soon to come will be a repeat of before,sadness,fear,0.60826415
i feel inhibited,sadness,fear,0.60826015
i received support from family and friends i found myself at times feeling helpless,sadness,fear,0.60822886
i feel inside cause life is like a game sometimes but then you came around me the walls just disappeared nothing to surround me and keep me from my fears i am unprotected see how ive opened up oh youve made me trust because ive nver felt like this before i am naked around you does it show,sadness,fear,0.6081266
i would feel less inhibited in my creative therapeutics if i wasnt distracted by street or foot traffic especially by police,sadness,fear,0.608119
i feel inside this life is like a game sometimes then you came around me the walls just dissapeared nothing to surround me keep me from my fears i am unprotected see how ive opened up oh youve made me trust chorus coz ive never felt like this before i am naked around you does it show,sadness,fear,0.6080913
when someone i was close to became a paranoid schizophrenic and i was unable to see this person because of the situation,sadness,fear,0.603755
my brother is a soldier he promised to come home in a furlough but in the last moment he phoned and said that he could not come,sadness,anger,0.60234565
after having watched a crime show on the tv,fear,anger,0.5934939
car accident nearly occurred between us and drunk driver coming in opposite direction it missed us by approx m and collided after rolling twice midair into nearby scrub,fear,anger,0.59133035
when i was in form,joy,fear,0.5872744
i feel like supporting any other party is a lost cause they never win anyway,joy,love,0.5722811
i feel for supporting microsoft i am gonna give them props on this one especially since with the open package deal it was cheaper than the ipod,joy,love,0.572193
i feel like i m supporting the program by helping nasa brand the successful the food vendors and of course the touristy shirts for those with souvenir fever,joy,love,0.5721678
i feel like the supporting literature cited in this section is not only scarce but also badly presented,joy,love,0.57216626
i feel very strongly about supporting local bands and the live music scene because as of late we have endured a big slump in all markets following the recession which has definitely not bi passed the music scene,joy,love,0.572156
i feel that supporting animal rights is perfectly in line with my other beliefs,joy,love,0.57214653
i also like the feeling of supporting the authors i love when i purchase their books even with deep discounts or off coupons,joy,love,0.57213783
i started to feel like a supporting character instead of the star in my own,joy,love,0.57213616
i feel that in my case i can t support the anime industry if it s not supporting me and in semi reply to that letter in anime insider i just sent this e mail to address my personal feelings on the issue,joy,love,0.5721252
i feel that supporting open source software is essential in keeping with the spirit of open source,joy,love,0.57211846
i feel that keeping on with supporting someone who keeps dragging me down or makes my close friends miserable is bad,joy,love,0.5721155
i also feel conflicted about supporting them because i feel that their religion basically relegates women to status of property,joy,love,0.57210904
i didnt feel so strongly about not supporting puppy selling pet stores i might have brought her home instead,joy,love,0.5721073
i feel like i m supporting someone and having a personal dialogue with them and it s amazing added johansson,joy,love,0.57210654
i feel like we have all accepted the fact that this is our life right now and i cannot imagine it being any other way,joy,love,0.5721017
i feel the stress of supporting three children two dogs and two cats plus the child i sponsor,joy,love,0.57210034
i just feel like i do not like supporting walmart because maceys has such good family values and is closed on sundays and isnt trying to take over mom and pop stores but i have to be a smart consumer too,joy,love,0.5721
i feel like there is too much coming out of my pocket and that i am supporting people s drug habits and poor lifestyle choices,joy,love,0.572092
i feel someone is there supporting me and protecting me,joy,love,0.5720876
i feel accepted and a style border bottom style none href http eqafe,joy,love,0.5720867
i do not feel like supporting this country however,joy,love,0.57208484
i feel as though i am supporting everyone in my life except me,joy,love,0.5720804
i feel the education system is putting so much more focus on assessment planning etc etc that we have less time to focus on supporting the children and helping them develop as people,joy,love,0.5720783
i feel about supporting american workers,joy,love,0.5720778
i feel this is actually supporting my side of the argument,joy,love,0.5720755
i feel like i can do anything as long as hes there with me supporting me,joy,love,0.57207537
i feel strongly about supporting my school and teachers,joy,love,0.57207143
i feel like supporting libtards,joy,love,0.57207084
i tend to feel like my patronage is me supporting you,joy,love,0.57206905
i feel very strongly about supporting the brave men and women who sacrifice for our nation said begleiter,joy,love,0.5720689
i feel that supporting this legislation is the right thing to do,joy,love,0.5720572
i feel toward those companies who were supporting limbaugh in the first place but who under pressure have withdrawn that support,joy,love,0.5720499
i miss feeling accepted by my husband and hearing a compliment before a criticism,joy,love,0.57204497
i know i know that feeling accepted or feeling like you belong to a group makes everything seem easier but it really is not,joy,love,0.57203776
i feel accepted like i fit in which generates positivity makes me feel connected its somewhere that i can always rely on for support and friendship despite what may be happening in my real life,joy,love,0.57203585
i sit to write i feel the energy all around me supporting me on the task,joy,love,0.57203525
i feel pretty strongly about supporting other women and their businesses and it feels good when other women do so as well,joy,love,0.57203484
i think will help when i m about to cave is that i m keeping some images of animals in factory farms in my pocket so that if i feel i m about to i can just glance at the images and remember that whenever i eat dairy and eggs i am essentially supporting torture,joy,love,0.5720289
i would never want to meet in a million years can invest in it and feel they are supporting progressive cultural ideas strikes me as one of the stupidest things on earth,joy,love,0.57202804
i will feel supporting myself for the most part,joy,love,0.57202595
i have not had the best time with feeling accepted at church since starting college and its insanely hard to join a church as a single woman,joy,love,0.5720226
i would like to be able to give money to any cause i feel like supporting not just ones that the bank supports,joy,love,0.5720214
i feel accepted unconditionally,joy,love,0.57201856
i am emotionally engaged because i feel that i supporting my own beliefs and values when i support them,joy,love,0.5720179
i can always get food that i can t really find anywhere else i feel like i m supporting smaller distributors and all in all the quality of the food is pretty damn high,joy,love,0.572017
i feel are supporting my decisions,joy,love,0.5720146
i feel accepted and therefore am feeling more acceptance of myself a total gift,joy,love,0.5720127
i feel accepted in my home and i do not feel like i have to change for even a second to make someone else happy,joy,love,0.57200944
i admit that it was a great feeling to have some partner in your lead supporting and cheering for who you are and what your doing,joy,love,0.5720084
i have not managed to blend in despite feeling very accepted,joy,love,0.5720056
i feel maybe they have already accepted him and i am just being blinded by my own anger and hatred,joy,love,0.5720038
i don t feel passionate then i allow myself to crumble,joy,love,0.57200277
i am well aware of how it feels to not be accepted or to not win an award,joy,love,0.5720026
i struggle with not feeling accepted and that everyone is better than me,joy,love,0.57200146
i define success by a large amount of people being able to feel something in my music and then in turn supporting it,joy,love,0.5720009
i sold tickets i feel like a lot of people are supporting it this year,joy,love,0.57200027
i had never experienced feeling accepted by them,joy,love,0.571999
i feel like all the browsers today are finally supporting a big chunk of css js dom and html,joy,love,0.57199013
i just want to feel accepted by myself for who i am,joy,love,0.5719883
i wouldn t be expecting too much from him because that would create pressure on his shoulder but to let him feel we re all here supporting him would be enough to build in his adrenaline,joy,love,0.5719851
i am excited because i feel like i am supporting a you,joy,love,0.5719848
i feel accepted and supported,joy,love,0.571983
i feel at the moment like i am there supporting everyone but no one is supporting me,joy,love,0.57198226
i mean i have the damnest feeling that if i were to take that article and use it publicly as evidence supporting gay marriage id get an awfully angry letter from the author stating thats not what he meant,joy,love,0.57197875
i did a short contract at a company called htc which only had users so i feel i have experience in supporting it in many different types of organisation,joy,love,0.5719787
i wave remember how many people love you and feel our arms supporting you under the deep and painful sea,joy,love,0.57197785
i think it goes back to never feeling accepted when i was growing up a learned internal diatribe i need to let go of,joy,love,0.57197505
i feel so out of touch these days and i miss supporting my friends and my favorite bloggers,joy,love,0.57197464
i feel that you have not yet accepted to explore all that led you to the path of anorexia,joy,love,0.5719719
i was feeling really passionate about some issues i could write musings posts about however mum had a virus on her computer and needed to borrow mine and by the time i got it back i thought better of it,joy,love,0.57196975
i feel that i am not accepted and am forced to hide this part of who i am,joy,love,0.57196677
i feel like i was just accepted in my doctoral program yesterday and yet my time in nashville has already come to an end,joy,love,0.5719652
i definitely think i have a lot left to achieve when it comes to feeling passionate and alive on a regular basis,joy,love,0.5719641
i feel very passionate about and one that i hope will not take an increasing hold on our society and culture,joy,love,0.57196295
i feel accepted hours ago,joy,love,0.57196206
i mean i feel kinda accepted,joy,love,0.5719589
i want to feel accepted by my family,joy,love,0.5719571
i said starting monday the posts are going to be focused a lot on the challenge and how i feel it is supporting my training,joy,love,0.57195526
i found myself feeling more accepted than i ever had before,joy,love,0.57195485
i can fill out with either the information they have written or write my own message and email it to my representatives telling them how i feel about supporting the arts,joy,love,0.5719523
i am feeling a little passionate,joy,love,0.57195157
i feel like i have accepted my body,joy,love,0.57194406
i tuck my hips under straightening the back line and opening the hips to a correct eq position this is more pronounced and i feel like theres nothing supporting my midsection,joy,love,0.5719422
i am not meaning that it is anything negative but simply a realization into why ive struggled a bit with feeling accepted,joy,love,0.5719359
i didn t feel passionate about anything although i tried to,joy,love,0.57193404
i feel extremely passionate about the work that will be able to take place now and i thank everyone that has taken the time to vote,joy,love,0.5719334
i enjoy being visible because it allows me to find out who id rather not spend time with and also who i can at least feel accepted by,joy,love,0.5719325
i feel passionate about and it seems as though the clinic is teaching the same things i would recommend,joy,love,0.5719325
i feel like if i keep on focusing on supporting my ideas and creating a strong thesis my writing will improve even more,joy,love,0.5719304
i seldom get the feeling of being accepted and when those people that accepted me turn their backs and reject me it hurts real bad,joy,love,0.57193
i do not like my job because i do not feel passionate about insurance,joy,love,0.57192475
i truly feel is that we are very passionate towards what we do and when we commit to something we don t stop until it is finished,joy,love,0.57192135
i love you could possibly be the highest form of validation deepest expression of feeling and most passionate statement one person can make to another,joy,love,0.57191944
i guess the thing is this sensitivity trait leads me to need to feel accepted,joy,love,0.5719178
i just want a genuine connection with someone or something in this world i just want to feel passionate and alive again like there is something to live for,joy,love,0.57191664
i am feeling generous i might let them bring the dog with em otherwise the animals are on their own,joy,love,0.5719113
i can only hope other college students take the opportunity and feel as passionate at the end as i do,joy,love,0.57190907
i feel more passionate about painting than i ever have about writing,joy,love,0.5719059
i feel today is going to be a passionate day where one will want to show one s feelings on any situation whether it be in a romantic sense or over what you value either personally or socially,joy,love,0.5719048
i feel complicit in supporting him by owning a copy,joy,love,0.57190317
i do not seem to have a purpose about which i feel passionate,joy,love,0.57190305
i feel ive accepted myself and my shortcomings i will have another bad day that makes me realize i havent accepted my new self because i feel myself and notice myself getting really upset at me,joy,love,0.57190144
i feel very passionate about in reading information provided by these organizations my eyes were opened to understanding that this is a concept that doesnt just support children who are differently abled but it supports all children,joy,love,0.5719014
i did this because i feel passionate about the approach and believe that these elements add dimension to each story,joy,love,0.57190126
i am his clever little daughter that picture i captured in my memory years ago is like a mantra that always makes me feel passionate to give him more,joy,love,0.57190084
i feel very passionate about this because at one point in my life i was a top rate tax payer and i paid my tax in full he says,joy,love,0.57190007
i read a blog post tonight that made me feel that if i am passionate about a political candidate or associate myself with a political party then i must be putting my trust in government and not in god,joy,love,0.57189786
i feel accepted loved and honored no matter how grumpy or upset i may be feeling no matter what mistakes i made that week or nasty things i thought or said,joy,love,0.5718965
i am feeling generous and do not think i should make you go all the way to the newspaper office to pick up a back issue i shall print the original press release right here,joy,love,0.5718927
i definitely feel like unicorns are more accepted as real,joy,love,0.5718927
i grew older i identified my feelings with want to feel accepted and feel closure from baggage left by mother,joy,love,0.57188874
i think this is the most negative book review ive ever done but i feel a lot of passionate rage ive never felt for a book before,joy,love,0.57188773
i feel passionate about growing some of my food,joy,love,0.57188725
i don t i feel i don t belong or am accepted based on what i write,joy,love,0.5718866
i guess it seems that i write the most when i feel really passionate about a show movie or something happening in it,joy,love,0.57188594
i found out that nbc was bringing it back as a mid season replacement it was scheduled independent of the writer s strike so i feel absolutely no guilt as a writer supporting ag i felt a pang of hesitation as i knew that anything that was recreated would be atrocious,joy,love,0.5718787
i am done trying to be someone i am not just to feel accepted,joy,love,0.5718784
i feel that i have been accepted and feel truly apart of india,joy,love,0.57187647
i mean becoming the person i want to be doing what makes me feel passionate and engaged and enhancing my core well being,joy,love,0.57187635
i feel very passionate about sharing my story of our family with you,joy,love,0.5718756
i want to be with i do not want to put myself in a position where i am going to be single again a year after i actually want to settle and build up a proper companionship rather than a fling and feel like i am supporting someone who just happens to have a boyfriend that lives on his own,joy,love,0.57187307
i have been at my new store and finally feel accepted as a team member,joy,love,0.5718713
i am part of a loose version of a street team but i have a feeling a passionate group of dedicated readers is where the excitement is,joy,love,0.57186985
i am excited and i feel like this is a project that i can be passionate about and totally immerse myself in,joy,love,0.57186955
i am sure i am not alone in wanting to feel accepted,joy,love,0.57186913
i am feeling generous which actually means i am being a couch potato i may just throw a few more recap posts your way tonight,joy,love,0.5718657
i will miss the great personas the drop down list of search engines and the good feeling of supporting something that is open source,joy,love,0.57186425
i believe wholeheartedly in accountability and i am every day incredibly grateful that we have such a wonderful community of financial supporters who donate to our work and we hope that in some way they feel part of our work by supporting us,joy,love,0.5718621
i feel that long beloved franchises should be left as they were and that sequels released a decade or more after the original franchise tend to be lower in quality,joy,love,0.57186145
i have no interest in learning dry needling though i did attend an introductory course by kinetacore given by the chief instructor mr edo zylstra on the topic so i feel i understand the basics of the rationale and supporting literature,joy,love,0.571861
i went for the degree because its a field i feel passionate about,joy,love,0.5718609
i ever published and is why i feel so passionate to give back,joy,love,0.571858
i never knew what it felt like to feel passionate about a path in life until i let myself decide this was what i wanted to do not just as a hobby but as a career,joy,love,0.5718578
i love to post and share my feeling and experiences i do not find myself as passionate about it as i used to be,joy,love,0.57185435
ive realized that when i am feeling really passionate about something i write about it,joy,love,0.5718517
i feel i am finally at a point where i am at peace and ive accepted it for what it is,joy,love,0.5718494
i feel less passionate about it,joy,love,0.5718451
i feel passionate about and dating is,joy,love,0.5718451
